Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Quality Score,Exp. CTR,Landing page exp.,Ad relevance,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,"""deck builder stone ridge""",Phrase match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck contractor stone ridge""",Phrase match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck company stone ridge""",Phrase match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck installation stone ridge va],Exact match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck company stone ridge va],Exact match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck contractor stone ridge va],Exact match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck builders stone ridge va],Exact match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck company stone ridge],Exact match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck installation stone ridge""",Phrase match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck resurfacing stone ridge],Exact match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""deck builders stone ridge""",Phrase match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[composite deck builder stone ridge],Exact match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""custom deck stone ridge""",Phrase match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,[deck replacement stone ridge],Exact match,loudoun decks,Deck Builder - Stone Ridge,Not eligible,rarely served; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Enabled,"""composite decking contractor near me""",Phrase match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Composite Decking,Not eligible,campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
Paused,[deck installation company],Exact match,Fairfax-Search-Search - Deck Leads - VA - May 2025,Composite Decking,Paused,paused; campaign paused,,0,0, --,USD,0,0.00, --, --, --, --,0,0.00%,0.00,0,0.00
